site,date,species,d13C,d15N
tottabetsu,6/9/2014,grasshopper,-28.03,-0.04
tottabetsu,6/9/2014,grasshopper,-27.86,2.53
tottabetsu,6/9/2014,grasshopper,-28.18,0.99
tottabetsu,6/9/2014,grasshopper,-28.24,0.81
tottabetsu,8/9/2014,grasshopper,-26.94,0.23
tottabetsu,8/9/2014,grasshopper,-27.92,1.65
tottabetsu,8/9/2014,grasshopper,-27.43,0.77
tottabetsu,8/9/2014,grasshopper,-27.35,1.04
tottabetsu,8/9/2014,grasshopper,-27.85,2.83
tottabetsu,9/8/2014,grasshopper,-28.26,0.33
tottabetsu,9/8/2014,grasshopper,-28.02,-0.43
tottabetsu,9/8/2014,grasshopper,-27.12,0.75
tottabetsu,9/8/2014,grasshopper,-27.76,1.61
tottabetsu,9/8/2014,grasshopper,-27.95,-0.01
tottabetsu,6/23/2014,L_noguchii,-22.23,5.57
tottabetsu,6/23/2014,L_noguchii,-23.22,4.68
tottabetsu,6/23/2014,L_noguchii,-24.72,3.91
tottabetsu,6/23/2014,L_noguchii,-24.72,4.64
tottabetsu,6/23/2014,L_noguchii,-25.5,7.03
tottabetsu,6/23/2014,L_noguchii,-24.87,5.76
tottabetsu,6/23/2014,L_noguchii,-24.8,5.05
tottabetsu,6/23/2014,L_noguchii,-24.25,4.55
tottabetsu,6/23/2014,L_noguchii,-24.36,3.53
tottabetsu,6/23/2014,L_noguchii,-23.94,4.28
tottabetsu,6/23/2014,B_stenoderus,-25.63,6.06
tottabetsu,6/23/2014,B_stenoderus,-25.71,5.43
tottabetsu,6/23/2014,B_stenoderus,-26.33,6.37
tottabetsu,6/23/2014,B_stenoderus,-22.94,4.25
tottabetsu,6/23/2014,B_stenoderus,-24.69,5.31
tottabetsu,6/23/2014,B_stenoderus,-25.8,5.6
tottabetsu,6/23/2014,B_stenoderus,-24.6,5.81
tottabetsu,6/23/2014,B_stenoderus,-24.91,6.04
tottabetsu,6/23/2014,B_stenoderus,-24.75,5.55
tottabetsu,6/23/2014,B_stenoderus,-24.58,5.53
tottabetsu,7/18/2014,L_noguchii,-24.02,4.6
tottabetsu,7/18/2014,L_noguchii,-25.01,4.83
tottabetsu,7/18/2014,L_noguchii,-26.04,5.47
tottabetsu,7/18/2014,L_noguchii,-22.84,4.94
tottabetsu,7/18/2014,L_noguchii,-23.24,4.84
tottabetsu,7/18/2014,L_noguchii,-25.09,4.92
tottabetsu,7/18/2014,L_noguchii,-25.34,6.42
tottabetsu,7/18/2014,L_noguchii,-22.1,4.32
tottabetsu,7/18/2014,L_noguchii,-23.27,4.05
tottabetsu,7/18/2014,L_noguchii,-24.61,5.65
tottabetsu,7/18/2014,B_stenoderus,-26.71,6.1
tottabetsu,7/18/2014,B_stenoderus,-24.76,6.85
tottabetsu,7/18/2014,B_stenoderus,-26.21,5.87
tottabetsu,7/18/2014,B_stenoderus,-24.37,5.11
tottabetsu,7/18/2014,B_stenoderus,-24.81,6.13
tottabetsu,7/18/2014,B_stenoderus,-24.97,6.23
tottabetsu,7/18/2014,B_stenoderus,-24.52,5.1
tottabetsu,7/18/2014,B_stenoderus,-23.97,6.24
tottabetsu,7/18/2014,B_stenoderus,-24.82,6.54
tottabetsu,7/18/2014,B_stenoderus,-24.86,5.31
tottabetsu,8/27/2014,L_noguchii,-27.14,5.21
tottabetsu,8/27/2014,L_noguchii,-26.75,4.54
tottabetsu,8/27/2014,L_noguchii,-26.29,4.94
tottabetsu,8/27/2014,L_noguchii,-24.93,6.3
tottabetsu,8/27/2014,L_noguchii,-25.88,4.78
tottabetsu,8/27/2014,L_noguchii,-25.17,6.22
tottabetsu,8/27/2014,L_noguchii,-24.53,5.25
tottabetsu,8/27/2014,L_noguchii,-25.68,5.4
tottabetsu,8/28/2014,L_noguchii,-25.4,3.05
tottabetsu,8/28/2014,L_noguchii,-26.68,4.38
tottabetsu,8/27/2014,B_stenoderus,-26.76,8.47
tottabetsu,8/27/2014,B_stenoderus,-27.25,8.04
tottabetsu,8/27/2014,B_stenoderus,-27.48,6.85
tottabetsu,8/27/2014,B_stenoderus,-25.7,4.97
tottabetsu,8/27/2014,B_stenoderus,-27.33,8.63
tottabetsu,8/27/2014,B_stenoderus,-27.03,6.37
tottabetsu,8/27/2014,B_stenoderus,-23.96,5.53
tottabetsu,8/27/2014,B_stenoderus,-25.26,4.88
tottabetsu,8/27/2014,B_stenoderus,-25.91,5.45
tottabetsu,8/27/2014,B_stenoderus,-27.38,4.52
